# Time,     Fx,      Fy,      Fz,      Mx,      My,      Mz						
# (s)       (N)      (N)      (N)      (N-m)    (N-m)    (N-m)						
300	0	      0	        0       0       0	0
300.01	0             0	        0	0	0	0
304.63	984.6150754	123.0768844	0	0	0	0
304.64	738.4613065	369.2306533	0	0	0	0
304.65	369.2306533	738.4613065	0	0	0	0
304.66	246.1537688	861.538191	0	0	0	0
304.67	492.3075377	615.3844221	0	0	0	0
304.68	615.3844221	861.538191	0	0	0	0
304.69	492.3075377	1230.768844	0	0	0	0
304.7	492.3075377	1476.922613	0	0	0	0
304.71	615.3844221	1353.845729	0	0	0	0
304.72	492.3075377	984.6150754	0	0	0	0
304.73	369.2306533	738.4613065	0	0	0	0
304.74	738.4613065	984.6150754	0	0	0	0
304.75	1353.845729	1230.768844	0	0	0	0
304.76	1353.845729	1107.69196	0	0	0	0
304.77	984.6150754	861.538191	0	0	0	0
304.78	369.2306533	738.4613065	0	0	0	0
304.79	123.0768844	861.538191	0	0	0	0
304.8	369.2306533	984.6150754	0	0	0	0
304.81	861.538191	984.6150754	0	0	0	0
304.82	1107.69196	1107.69196	0	0	0	0
304.83	1107.69196	984.6150754	0	0	0	0
304.84	861.538191	984.6150754	0	0	0	0
304.85	861.538191	1107.69196	0	0	0	0
304.86	738.4613065	1353.845729	0	0	0	0
304.87	738.4613065	1353.845729	0	0	0	0
304.88	984.6150754	1353.845729	0	0	0	0
304.89	1107.69196	1107.69196	0	0	0	0
304.9	1107.69196	861.538191	0	0	0	0
304.91	738.4613065	861.538191	0	0	0	0
304.92	738.4613065	615.3844221	0	0	0	0
304.93	1230.768844	615.3844221	0	0	0	0
304.94	2092.307035	1107.69196	0	0	0	0
304.95	2830.768342	1846.153266	0	0	0	0
304.96	3446.152764	2584.614573	0	0	0	0
304.97	3938.460302	2092.307035	0	0	0	0
304.98	3569.229648	738.4613065	0	0	0	0
304.99	1969.230151	-738.4613065	0	0	0	0
305	123.0768844	-1969.230151	0	0	0	0
305.01	-861.538191	-2215.38392	0	0	0	0
305.02	-369.2306533	-369.2306533	0	0	0	0
305.03	1107.69196	3199.998995	0	0	0	0
305.04	2584.614573	5784.613568	0	0	0	0
305.05	3938.460302	5046.152261	0	0	0	0
305.06	4553.844724	1599.999497	0	0	0	0
305.07	2953.845226	-2461.537688	0	0	0	0
305.08	-1230.768844	-4676.921608	0	0	0	0
305.09	-6153.844221	-4184.61407	0	0	0	0
305.1	-8984.612563	-1353.845729	0	0	0	0
305.11	-7876.920603	3199.998995	0	0	0	0
305.12	-3199.998995	7630.766834	0	0	0	0
305.13	2830.768342	8738.458794	0	0	0	0
305.14	7753.843719	4553.844724	0	0	0	0
305.15	10092.30452	-2338.460804	0	0	0	0
305.16	9599.996985	-7261.536181	0	0	0	0
305.17	6399.99799	-9107.689447	0	0	0	0
305.18	1846.153266	-7999.997487	0	0	0	0
305.19	-2215.38392	-2953.845226	0	0	0	0
305.2	-3446.152764	5415.382915	0	0	0	0
305.21	-1107.69196	11569.22714	0	0	0	0
305.22	3815.383417	10953.84271	0	0	0	0
305.23	8369.228141	5046.152261	0	0	0	0
305.24	9599.996985	-1846.153266	0	0	0	0
305.25	7630.766834	-7138.459296	0	0	0	0
305.26	4676.921608	-9230.766332	0	0	0	0
305.27	2338.460804	-6523.074874	0	0	0	0
305.28	984.6150754	-369.2306533	0	0	0	0
305.29	615.3844221	5538.459799	0	0	0	0
305.3	615.3844221	9230.766332	0	0	0	0
305.31	-984.6150754	10215.38141	0	0	0	0
305.32	-3323.075879	7753.843719	0	0	0	0
305.33	-2707.691457	2584.614573	0	0	0	0
305.34	1107.69196	-2461.537688	0	0	0	0
305.35	3076.922111	-5784.613568	0	0	0	0
305.36	615.3844221	-7753.843719	0	0	0	0
305.37	-1353.845729	-7507.68995	0	0	0	0
305.38	1476.922613	-1846.153266	0	0	0	0
305.39	3938.460302	7999.997487	0	0	0	0
305.4	-492.3075377	13907.68794	0	0	0	0
305.41	-8861.535678	9969.227638	0	0	0	0
305.42	-13415.3804	1107.69196	0	0	0	0
305.43	-12553.84221	-3199.998995	0	0	0	0
305.44	-9353.843216	-738.4613065	0	0	0	0
305.45	-4799.998492	3692.306533	0	0	0	0
305.46	369.2306533	5292.30603	0	0	0	0
305.47	3569.229648	3569.229648	0	0	0	0
305.48	3815.383417	-615.3844221	0	0	0	0
305.49	4430.767839	-5907.690452	0	0	0	0
305.5	7630.766834	-8861.535678	0	0	0	0
305.51	10584.61206	-7876.920603	0	0	0	0
305.52	11692.30402	-4430.767839	0	0	0	0
305.53	14399.99548	1476.922613	0	0	0	0
305.54	18215.37889	8861.535678	0	0	0	0
305.55	15999.99497	12307.68844	0	0	0	0
305.56	5046.152261	6646.151759	0	0	0	0
305.57	-5046.152261	-4184.61407	0	0	0	0
305.58	-4430.767839	-10584.61206	0	0	0	0
305.59	5292.30603	-7384.613065	0	0	0	0
305.6	14769.22613	-123.0768844	0	0	0	0
305.61	16984.61005	2338.460804	0	0	0	0
305.62	10707.68894	-2461.537688	0	0	0	0
